id,bedrooms,bathrooms,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15
"7129300520",3,1,-5650,"1",0,0,3,7,1180,0,1955,0,47.5112,-122.257,1340,5650
"6414100192",3,2.25,7242,"2",0,0,3,7,2170,400,1951,1991,47.721,-122.319,1690,7639
"5631500400",2,1,10000,"1",0,0,3,6,770,0,1933,0,47.7379,-122.233,2720,8062
"2487200875",4,3,5000,"1",0,0,5,7,1050,910,1965,0,47.5208,-122.393,1360,5000
"1954400510",3,2,8080,"1",0,0,3,8,1680,0,1987,0,47.6168,-122.045,1800,7503
"7237550310",4,4.5,101930,"1",0,0,3,11,3890,1530,2001,0,47.6561,-122.005,4760,101930
"1321400060",3,2.25,6819,"2",0,0,3,7,1715,0,1995,0,47.3097,-122.327,2238,6819
"2008000270",3,1.5,9711,"1",0,0,3,7,1060,0,0,47.4095,-122.315,1650,9711
"2414600126",3,1,7470,"1",0,0,3,7,1050,730,1960,0,47.5123,-122.337,1780,8113
"2414600126",3,1,7470,"1",0,0,3,7,1050,730,1960,0,47.5123,-122.337,1780,8113
